2025-11-11 15:54:46,357 | sentence_transformers.SentenceTransformer | INFO | Use pytorch device_name: cpu
2025-11-11 15:54:46,357 | sentence_transformers.SentenceTransformer | INFO | Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-11-11 15:54:46,365 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): huggingface.co:443
2025-11-11 15:54:48,875 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0
2025-11-11 15:54:48,894 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json HTTP/1.1" 200 0
2025-11-11 15:54:49,166 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2025-11-11 15:54:49,184 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 0
2025-11-11 15:54:49,801 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2025-11-11 15:54:49,814 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 0
2025-11-11 15:54:50,054 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md HTTP/1.1" 307 0
2025-11-11 15:54:50,070 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/README.md HTTP/1.1" 200 0
2025-11-11 15:54:50,321 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0
